code,market,dt,open,high,low,close,volume,amount,open_interest
601006.SH,stock,2022-01-04,4.98,5.03,4.96,5.03,40791805.0,262652631.0,0.0
601006.SH,stock,2022-01-05,5.03,5.08,5.0,5.03,43326702.0,280701137.0,0.0
601006.SH,stock,2022-01-06,5.02,5.05,5.0,5.02,22685546.0,146341487.0,0.0
601006.SH,stock,2022-01-07,5.02,5.1,5.01,5.07,36561252.0,238105075.0,0.0
601006.SH,stock,2022-01-10,5.09,5.1,5.07,5.09,24681119.0,161242033.0,0.0
601006.SH,stock,2022-01-11,5.1,5.14,5.07,5.12,35440948.0,232999788.0,0.0
601006.SH,stock,2022-01-12,5.11,5.13,5.07,5.1,25408006.0,166606794.0,0.0
601006.SH,stock,2022-01-13,5.1,5.15,5.07,5.07,21210500.0,139043391.0,0.0
601006.SH,stock,2022-01-14,5.09,5.1,5.01,5.02,29782844.0,192813022.0,0.0
601006.SH,stock,2022-01-17,5.02,5.05,5.0,5.01,19649740.0,126938823.0,0.0
601006.SH,stock,2022-01-18,5.03,5.09,5.01,5.07,43121666.0,280262886.0,0.0
601006.SH,stock,2022-01-19,5.07,5.16,5.07,5.12,39714898.0,261258276.0,0.0
601006.SH,stock,2022-01-20,5.14,5.14,5.1,5.13,35374497.0,233130148.0,0.0
601006.SH,stock,2022-01-21,5.13,5.21,5.08,5.17,64224172.0,425872515.0,0.0
601006.SH,stock,2022-01-24,5.16,5.17,5.06,5.11,35394046.0,232942965.0,0.0
601006.SH,stock,2022-01-25,5.1,5.14,5.07,5.07,38662147.0,253407706.0,0.0
601006.SH,stock,2022-01-26,5.09,5.13,5.04,5.09,24601266.0,160674555.0,0.0
601006.SH,stock,2022-01-27,5.1,5.14,5.07,5.09,33670432.0,221016468.0,0.0
601006.SH,stock,2022-01-28,5.1,5.19,5.09,5.14,45194286.0,298826723.0,0.0
601006.SH,stock,2022-02-07,5.15,5.29,5.15,5.26,77184475.0,519447102.0,0.0
601006.SH,stock,2022-02-08,5.25,5.53,5.24,5.52,162577802.0,1135022496.0,0.0
601006.SH,stock,2022-02-09,5.53,5.55,5.42,5.43,75443030.0,530403787.0,0.0
601006.SH,stock,2022-02-10,5.41,5.63,5.38,5.58,133973926.0,955332844.0,0.0
601006.SH,stock,2022-02-11,5.56,5.64,5.53,5.56,79963492.0,574265056.0,0.0
601006.SH,stock,2022-02-14,5.53,5.57,5.41,5.49,72833164.0,513696114.0,0.0
601006.SH,stock,2022-02-15,5.46,5.51,5.43,5.46,59605238.0,418946884.0,0.0
601006.SH,stock,2022-02-16,5.47,5.52,5.4,5.45,48059274.0,336448895.0,0.0
601006.SH,stock,2022-02-17,5.45,5.46,5.35,5.38,52522121.0,364112605.0,0.0
601006.SH,stock,2022-02-18,5.38,5.49,5.35,5.49,69406064.0,483432025.0,0.0
601006.SH,stock,2022-02-21,5.49,5.49,5.39,5.42,37621907.0,262231025.0,0.0
